price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
4165000,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
4830000,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
2100000,3000,4,1,2,yes,no,no,no,no,0,no,unfurnished
3920000,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
5033000,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
3360000,4750,2,1,1,yes,no,no,no,no,0,no,unfurnished
3500000,3120,3,1,2,yes,no,no,no,no,1,no,unfurnished
4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
3080000,4960,2,1,1,yes,no,yes,no,yes,0,no,unfurnished
3780000,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
1750000,2910,3,1,1,no,no,no,no,no,0,no,furnished
4830000,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
3920000,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
6107500,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
6650000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
5866000,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
3500000,3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
5810000,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
7700000,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
3885000,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
3360000,3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished
3290000,6060,3,1,1,yes,yes,yes,no,no,0,no,furnished
7000000,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
5565000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
3115000,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
2961000,3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished
7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
3080000,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished
3430000,3185,2,1,1,yes,no,no,no,no,2,no,unfurnished
1750000,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
3423000,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished
7350000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
3703000,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished
6930000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
1820000,3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished
5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
2660000,3630,3,3,2,no,yes,no,no,no,0,no,unfurnished
3990000,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
3325000,4775,4,1,2,yes,no,no,no,no,0,no,unfurnished
3570000,4500,4,2,2,yes,no,yes,no,no,2,no,furnished
3836000,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished
4403000,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
4767000,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
2800000,2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished
2450000,7700,2,1,1,yes,no,no,no,no,0,no,unfurnished
3850000,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
2870000,3630,2,1,1,yes,no,no,no,no,0,no,unfurnished
3150000,3450,1,1,1,yes,no,no,no,no,0,no,furnished
3290000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
3500000,3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished
4830000,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
7980000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
3675000,5640,2,1,1,no,no,no,no,no,0,no,semi-furnished
3150000,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished
4445000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
3640000,3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished
3150000,3069,2,1,1,yes,no,no,no,no,1,no,unfurnished
3920000,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
5215000,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
4200000,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
3430000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
3430000,1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished
5250000,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
4900000,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished
3332000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
3633000,3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
4340000,3500,4,1,2,yes,no,no,no,no,2,no,furnished
3570000,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
4613000,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
2940000,3660,4,1,2,no,no,no,no,no,0,no,unfurnished
3920000,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
2940000,3150,3,1,2,no,no,no,no,no,0,no,unfurnished
4277000,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
5250000,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
5040000,7600,4,1,2,yes,no,no,no,yes,2,no,furnished
4900000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
2380000,2475,3,1,2,yes,no,no,no,no,0,no,furnished
6650000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
6755000,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
4200000,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
3010000,3750,3,1,2,yes,no,no,no,no,0,no,unfurnished
3465000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
3780000,8400,2,1,1,yes,no,no,no,no,1,no,furnished
6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
3605000,4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3150000,9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished
4193000,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
3885000,3180,4,2,2,yes,no,no,no,no,0,no,furnished
5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
4515000,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
4515000,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
4200000,4410,2,1,1,no,no,no,no,no,1,no,unfurnished
4007500,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
3360000,3720,2,1,1,no,no,no,no,yes,0,no,unfurnished
5600000,5000,3,1,4,yes,no,no,no,no,0,no,furnished
4753000,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
6650000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
3780000,5830,2,1,1,yes,no,no,no,no,2,no,unfurnished
6195000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
3815000,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
3570000,4500,2,1,1,no,no,no,no,no,0,no,furnished
5110000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
3234000,3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished
7140000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
6419000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
7070000,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
4382000,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
3640000,5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished
2450000,3240,2,1,1,no,yes,no,no,no,1,no,unfurnished
4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
4060000,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
6629000,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
4123000,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
4620000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
4550000,3640,3,1,2,yes,no,no,no,yes,0,no,furnished
4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
4200000,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
3010000,2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished
7910000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
7350000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
3010000,3240,3,1,2,yes,no,no,no,no,2,no,semi-furnished
5950000,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
4760000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
2870000,5400,4,1,2,yes,no,no,no,no,0,no,unfurnished
6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
4130000,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
7455000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
4200000,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
2345000,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
3640000,2850,3,2,2,no,no,yes,no,no,0,yes,unfurnished
4165000,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished
4550000,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished
4410000,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
4585000,4000,3,1,2,yes,no,no,no,no,1,no,furnished
8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
5530000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
4200000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
6510000,8250,3,2,3,yes,no,no,no,yes,0,no,furnished
7210000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
4550000,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
3220000,2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished
5243000,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
3353000,2700,3,1,1,no,no,no,no,no,0,no,furnished
6930000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
4620000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
6265000,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
3535000,3850,3,1,1,yes,no,no,no,no,2,no,unfurnished
4900000,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
2590000,3600,2,2,2,yes,no,yes,no,no,1,no,furnished
4403000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
3150000,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished
5250000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
3773000,8250,3,1,1,yes,no,no,no,no,2,no,furnished
4550000,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
4270000,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
7560000,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
4907000,4200,3,1,2,yes,no,no,no,no,1,no,furnished
4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
3675000,3630,2,1,1,yes,no,yes,no,no,0,no,furnished
6440000,8580,5,3,2,yes,no,no,no,no,2,no,furnished
3115000,3000,3,1,1,no,no,no,no,yes,0,no,unfurnished
6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
4060000,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
3010000,5076,3,1,1,no,no,no,no,no,0,no,unfurnished
5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
3118850,2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
5145000,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished
5250000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
6510000,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
2520000,2880,3,1,1,no,no,no,no,no,0,no,unfurnished
4200000,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
4130000,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
4935000,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
4970000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
4690000,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
7490000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
1890000,1700,3,1,2,yes,no,no,no,no,0,no,unfurnished
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
5040000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
8120000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
3143000,4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
2800000,3960,3,1,1,yes,no,no,no,no,0,no,furnished
3255000,4500,2,1,1,no,no,no,no,no,0,no,semi-furnished
6895000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
3500000,3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished
4095000,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished
9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
3360000,3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished
5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
2940000,3480,3,1,2,no,no,no,no,no,1,no,semi-furnished
3710000,3600,3,1,1,yes,no,no,no,no,1,no,unfurnished
7343000,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
3500000,5900,2,1,1,yes,no,no,no,no,1,no,furnished
5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
6230000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
7560000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
2660000,2800,3,1,1,yes,no,no,no,no,0,no,unfurnished
3500000,7424,3,1,1,no,no,no,no,no,0,no,unfurnished
3150000,3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
5600000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
3080000,3090,2,1,1,yes,yes,yes,no,no,0,no,unfurnished
2940000,4960,2,1,1,yes,no,no,no,no,0,no,unfurnished
2408000,3635,2,1,1,no,no,no,no,no,0,no,unfurnished
3990000,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
3850000,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
4319000,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
4620000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
4515000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
3220000,4370,3,1,2,yes,no,no,no,no,0,no,unfurnished
2100000,3360,2,1,1,yes,no,no,no,no,1,no,unfurnished
3920000,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
3990000,3960,3,1,2,yes,no,no,no,no,0,no,furnished
10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
3500000,3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished
6020000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
3773000,6930,4,1,2,no,no,no,no,no,1,no,furnished
1767150,2400,3,1,1,no,no,no,no,no,0,no,semi-furnished
2660000,2430,3,1,1,no,no,no,no,no,0,no,unfurnished
5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
2835000,2640,2,1,1,no,no,no,no,no,1,no,furnished
4025000,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
2520000,3000,2,1,2,yes,no,no,no,no,0,no,furnished
5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
2730000,6800,2,1,1,yes,no,no,no,no,0,no,unfurnished
3010000,4600,2,1,1,yes,no,no,no,no,0,no,furnished
3290000,3480,4,1,2,no,no,no,no,no,1,no,semi-furnished
6615000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
6020000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
4480000,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
6405000,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
6475000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
3360000,4960,4,1,3,no,no,no,no,no,0,no,semi-furnished
