date,eu27_hicp_yoy_pct,deposit_facility_rate_pct
2012-04-01,2.7,0.25
2012-05-01,2.5,0.25
2012-06-01,2.5,0.25
2012-07-01,2.5,0
2012-08-01,2.7,0
2012-09-01,2.8,0
2012-10-01,2.7,0
2012-11-01,2.3,0
2012-12-01,2.3,0
2013-01-01,2,0
2013-02-01,1.9,0
2013-03-01,1.7,0
2013-04-01,1.2,0
2013-05-01,1.4,0
2013-06-01,1.5,0
2013-07-01,1.6,0
2013-08-01,1.3,0
2013-09-01,1,0
2013-10-01,0.7,0
2013-11-01,0.8,0
2013-12-01,0.8,0
2014-01-01,0.7,0
2014-02-01,0.7,0
2014-03-01,0.4,0
2014-04-01,0.6,0
2014-05-01,0.5,0
2014-06-01,0.5,-0.1
2014-07-01,0.4,-0.1
2014-08-01,0.3,-0.1
2014-09-01,0.3,-0.2
2014-10-01,0.3,-0.2
2014-11-01,0.3,-0.2
2014-12-01,-0.2,-0.2
2015-01-01,-0.6,-0.2
2015-02-01,-0.3,-0.2
2015-03-01,-0.1,-0.2
2015-04-01,0.1,-0.2
2015-05-01,0.5,-0.2
2015-06-01,0.4,-0.2
2015-07-01,0.4,-0.2
2015-08-01,0.3,-0.2
2015-09-01,0.1,-0.2
2015-10-01,0.3,-0.2
2015-11-01,0.1,-0.2
2015-12-01,0.2,-0.3
2016-01-01,0.3,-0.3
2016-02-01,-0.2,-0.3
2016-03-01,-0.1,-0.4
2016-04-01,-0.3,-0.4
2016-05-01,-0.2,-0.4
2016-06-01,0,-0.4
2016-07-01,0.1,-0.4
2016-08-01,0.2,-0.4
2016-09-01,0.3,-0.4
2016-10-01,0.5,-0.4
2016-11-01,0.6,-0.4
2016-12-01,1.1,-0.4
2017-01-01,1.7,-0.4
2017-02-01,1.9,-0.4
2017-03-01,1.5,-0.4
2017-04-01,1.8,-0.4
2017-05-01,1.4,-0.4
2017-06-01,1.3,-0.4
2017-07-01,1.4,-0.4
2017-08-01,1.6,-0.4
2017-09-01,1.6,-0.4
2017-10-01,1.5,-0.4
2017-11-01,1.6,-0.4
2017-12-01,1.4,-0.4
2018-01-01,1.4,-0.4
2018-02-01,1.2,-0.4
2018-03-01,1.4,-0.4
2018-04-01,1.3,-0.4
2018-05-01,2,-0.4
2018-06-01,2,-0.4
2018-07-01,2.2,-0.4
2018-08-01,2.1,-0.4
2018-09-01,2.1,-0.4
2018-10-01,2.3,-0.4
2018-11-01,1.9,-0.4
2018-12-01,1.6,-0.4
2019-01-01,1.4,-0.4
2019-02-01,1.6,-0.4
2019-03-01,1.6,-0.4
2019-04-01,1.9,-0.4
2019-05-01,1.5,-0.4
2019-06-01,1.5,-0.4
2019-07-01,1.3,-0.4
2019-08-01,1.3,-0.4
2019-09-01,1.1,-0.5
2019-10-01,1,-0.5
2019-11-01,1.3,-0.5
2019-12-01,1.6,-0.5
2020-01-01,1.7,-0.5
2020-02-01,1.6,-0.5
2020-03-01,1.1,-0.5
2020-04-01,0.6,-0.5
2020-05-01,0.5,-0.5
2020-06-01,0.7,-0.5
2020-07-01,0.8,-0.5
2020-08-01,0.4,-0.5
2020-09-01,0.2,-0.5
2020-10-01,0.2,-0.5
2020-11-01,0.2,-0.5
2020-12-01,0.2,-0.5
2021-01-01,1.2,-0.5
2021-02-01,1.3,-0.5
2021-03-01,1.7,-0.5
2021-04-01,2,-0.5
2021-05-01,2.3,-0.5
2021-06-01,2.2,-0.5
2021-07-01,2.5,-0.5
2021-08-01,3.2,-0.5
2021-09-01,3.6,-0.5
2021-10-01,4.4,-0.5
2021-11-01,5.2,-0.5
2021-12-01,5.3,-0.5
2022-01-01,5.6,-0.5
2022-02-01,6.2,-0.5
2022-03-01,7.8,-0.5
2022-04-01,8.1,-0.5
2022-05-01,8.8,-0.5
2022-06-01,9.6,-0.5
2022-07-01,9.8,0
2022-08-01,10.1,0
2022-09-01,10.9,0.75
2022-10-01,11.5,0.75
2022-11-01,11.1,1.5
2022-12-01,10.4,2
2023-01-01,10,2
2023-02-01,9.9,2.5
2023-03-01,8.3,3
2023-04-01,8.1,3
2023-05-01,7.1,3.25
2023-06-01,6.4,3.5
2023-07-01,6.1,3.5
2023-08-01,5.9,3.75
2023-09-01,4.9,4
2023-10-01,3.6,4
2023-11-01,3.1,4
2023-12-01,3.4,4
2024-01-01,3.1,4
2024-02-01,2.8,4
2024-03-01,2.6,4
2024-04-01,2.6,4
2024-05-01,2.7,4
2024-06-01,2.6,3.75
2024-07-01,2.8,3.75
2024-08-01,2.4,3.75
2024-09-01,2.1,3.5
2024-10-01,2.3,3.25
2024-11-01,2.5,3.25
2024-12-01,2.7,3
2025-01-01,2.8,3
2025-02-01,2.7,2.75
2025-03-01,2.5,2.5
2025-04-01,2.4,2.25
2025-05-01,2.2,2.25
2025-06-01,2.3,2
2025-07-01,2.4,2
2025-08-01,2.4,2
2025-09-01,2.6,2
2025-10-01,2.5,2
2025-11-01,2.4,2
2025-12-01,2.3,2
