Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
Retail Worker,36540,8,PhD,0.16,1.29,0.87,High,0.22,0.08,0.68,0.65,0.27,0.95,0.15,0.43,0.94,0.42
Retail Worker,58602,19,High School,0.4,0.77,0.95,High,0.41,0.89,0.23,0.21,0.03,0.65,0.37,0.86,0.47,0.97
Lawyer,69341,24,PhD,0.87,1.28,0.61,Medium,0.84,0.76,0.63,0.13,0.03,0.92,0.62,0.8,0.48,0.12
Doctor,41536,29,PhD,0.69,0.93,0.1,Low,0.49,0.06,0.58,0.27,0.8,0.31,0.46,0.01,0.07,0.39
Marketing Manager,113309,14,Master's,0.6,0.79,0.58,Medium,0.86,0.78,0.04,0.48,0.1,0.24,0.99,0.14,0.5,0.62
AI Engineer,78787,0,Master's,0.56,0.51,0.13,Low,0.52,0.09,0.35,0.03,0.08,0.4,0.13,0.57,0.69,0.8
Graphic Designer,98577,9,High School,0.17,0.6,0.55,Medium,0.71,0.03,0.94,0.05,0.54,0.71,0.87,0.71,0.8,0.34
Construction Worker,54826,6,Master's,0.66,1.05,0.85,High,0.78,0.48,0.04,0.16,0.44,0.72,0.59,0.65,0.48,0.62
Marketing Manager,61890,22,Master's,0.47,1.24,0.65,Medium,0.43,0.04,0.16,0.02,0.65,0.33,0.54,0.49,0.08,0.4
HR Specialist,75500,28,Bachelor's,0.42,0.7,0.64,Medium,0.17,0.96,0.42,0.85,0.63,0.74,0.77,0.5,0.54,0.51
Truck Driver,95128,3,PhD,0.03,0.9,0.85,High,0.6,0.79,0.66,0.99,0.28,0.36,0.38,0.47,0.84,0.24
UX Researcher,49975,3,High School,0.91,0.68,0.4,Medium,0.97,0.18,0.85,0.49,0.25,0.87,0.45,0.51,0.36,0.59
Chef,75893,16,Master's,0.39,1.47,0.4,Medium,0.66,0.33,0.77,0.13,0.97,0.45,0.24,0.07,0.17,0.52
HR Specialist,106619,29,High School,0.15,0.95,0.54,Medium,0.95,0.25,0.36,0.38,0.61,0.36,0.53,0.78,0.71,0.45
HR Specialist,113310,14,High School,0.56,1.04,0.31,Medium,0.99,0.12,0.23,0.05,0.64,0.22,0.18,0.09,0.1,0.58
AI Engineer,55611,9,High School,0.4,0.98,0.22,Low,0.02,0.32,0.97,0.58,0.25,0.52,0.34,0.53,0.13,0.13
Truck Driver,108131,15,Bachelor's,0.94,1.23,0.74,High,0.19,0.73,0.16,0.23,0.96,0.26,0.66,0.98,0.37,0.02
Research Scientist,58625,16,Bachelor's,0.83,1.36,0.24,Low,0.11,0.8,0.92,0.6,0.94,0.83,0.67,0.58,0.35,0.16
Lawyer,47087,5,Bachelor's,0.32,1.37,0.7,Medium,0.75,0.09,0.29,0.11,0.65,0.77,0.93,0.44,0.9,0.88
Customer Support,143942,18,Bachelor's,0.87,0.88,0.77,High,0.65,0.33,0.63,0.61,0.56,0.38,0.55,0.6,0.55,0.44
Mechanic,109973,25,High School,0.59,0.67,0.56,Medium,0.76,0.5,0.54,0.95,0.85,0.91,0.81,0.11,0.15,0.53
Truck Driver,57598,11,PhD,0.48,0.89,0.84,High,0.75,0.72,0.52,0.82,0.43,0.9,0.07,0.95,0.65,0.38
Doctor,75379,20,Bachelor's,0.48,0.69,0.09,Low,0.62,0.52,0.67,0.93,0.53,0.58,0.09,0.72,0.4,0.98
HR Specialist,130441,24,High School,0.52,0.62,0.64,Medium,0.8,0.18,0.3,0.79,0.19,0.92,0.42,0.09,0.82,0.37
UX Researcher,72668,9,High School,0.11,0.5,0.56,Medium,0.52,0.59,0.79,0.65,0.17,0.36,0.91,0.77,0.56,0.26
Data Scientist,140641,23,Master's,0.82,0.92,0.57,Medium,0.1,0.62,0.45,0.59,0.17,0.74,0.86,0.22,0.1,0.02
Marketing Manager,46014,2,PhD,0.61,1.05,0.39,Medium,0.39,0.59,0.5,0.99,0.14,0.7,0.4,0.43,0.72,0.69
Data Scientist,92438,23,Bachelor's,0.13,0.6,0.59,Medium,0.58,0.27,0.08,0.09,0.89,0.19,0.32,0.23,0.35,0.07
Doctor,102240,27,High School,0.07,1.3,0.11,Low,0.54,0.88,0.65,0.53,0.32,0.33,0.67,0.99,0.66,0.56
Truck Driver,39686,29,PhD,0.33,1.08,0.72,High,0.96,0.63,0.75,0.17,0.41,0.42,0.82,0.0,0.3,0.98
Mechanic,40754,15,PhD,0.38,0.62,0.69,Medium,0.02,0.74,0.77,0.24,0.67,0.09,0.26,0.79,0.86,0.61
Retail Worker,40699,5,Bachelor's,0.16,0.56,0.73,High,0.23,0.34,0.38,0.35,0.24,0.51,0.83,0.28,0.94,0.87
HR Specialist,120373,2,PhD,0.79,1.07,0.53,Medium,0.39,0.5,0.4,0.54,0.63,0.67,0.53,0.72,0.14,0.21
Software Engineer,70461,8,High School,0.32,0.52,0.36,Medium,0.22,0.96,0.57,0.93,0.58,0.48,0.31,0.61,0.14,0.9
HR Specialist,103965,28,High School,0.32,1.45,0.63,Medium,0.67,0.12,0.48,0.51,0.23,0.08,0.78,0.12,0.59,0.94
Research Scientist,58179,17,PhD,0.28,1.35,0.05,Low,0.02,0.6,0.36,0.39,0.56,0.19,0.21,0.48,0.75,0.62
Doctor,125694,8,PhD,0.43,0.67,0.07,Low,0.78,0.27,0.18,0.69,0.62,0.63,0.23,0.23,0.22,0.17
Chef,128723,27,High School,0.85,1.22,0.62,Medium,0.4,0.65,0.35,0.53,0.48,0.18,0.39,0.96,0.25,0.13
Financial Analyst,36548,21,Bachelor's,0.79,1.08,0.57,Medium,0.19,0.62,0.32,0.83,0.63,0.2,0.06,0.04,0.37,0.27
Research Scientist,40634,20,PhD,0.84,0.6,0.17,Low,0.15,0.32,0.74,0.48,0.38,0.39,0.46,0.79,0.89,0.96
HR Specialist,62784,23,Master's,0.32,1.19,0.48,Medium,0.25,0.84,0.04,0.9,0.46,0.64,0.66,0.9,0.64,0.61
Nurse,37099,22,High School,0.52,0.65,0.23,Low,0.51,0.68,0.04,0.08,0.72,0.07,0.07,0.01,0.96,0.74
Graphic Designer,74857,13,Bachelor's,0.99,1.47,0.68,Medium,0.78,0.35,0.41,0.55,0.83,0.07,0.42,0.08,0.51,0.9
Data Scientist,91063,7,Master's,0.62,0.88,0.38,Medium,0.12,0.62,0.77,0.64,0.53,0.04,0.97,0.8,0.29,0.98
Security Guard,89765,12,PhD,0.58,1.25,0.9,High,0.66,0.13,0.34,0.93,0.22,0.37,0.43,0.44,0.61,0.94
Mechanic,32461,19,High School,0.12,0.7,0.65,Medium,0.65,0.29,0.82,0.86,0.85,0.92,0.25,0.76,0.46,0.84
Teacher,53911,13,Master's,0.78,1.16,0.09,Low,0.55,0.98,0.94,0.04,0.16,0.13,0.73,0.82,0.21,0.51
Financial Analyst,50567,11,Bachelor's,0.73,1.04,0.54,Medium,0.51,0.3,0.57,0.69,0.87,0.64,0.76,0.16,0.46,0.01
Marketing Manager,52656,11,Bachelor's,0.73,1.49,0.34,Medium,0.4,0.8,0.2,0.56,0.73,0.62,0.19,0.36,0.78,0.55
Research Scientist,77701,9,Bachelor's,0.76,0.54,0.24,Low,0.2,0.96,0.37,0.33,0.15,0.31,0.88,1.0,0.37,0.45
Graphic Designer,137539,9,High School,0.89,1.09,0.46,Medium,0.41,0.7,0.0,0.62,0.36,0.79,0.09,0.59,0.48,0.64
Research Scientist,46087,4,High School,0.58,1.06,0.19,Low,0.6,0.68,0.8,0.27,0.83,0.5,0.08,0.06,0.33,0.78
Lawyer,67861,20,PhD,0.79,1.02,0.48,Medium,0.15,0.33,0.43,0.09,0.22,0.6,0.74,1.0,0.93,0.64
Construction Worker,89792,5,Master's,0.64,1.29,0.73,High,0.41,0.84,0.38,0.57,0.59,0.18,0.36,0.33,0.03,0.02
Chef,36397,21,Bachelor's,0.27,1.02,0.42,Medium,0.94,0.26,0.43,0.87,0.84,0.19,0.8,0.46,0.48,0.13
Data Scientist,49715,29,Master's,0.73,1.0,0.47,Medium,0.73,0.77,0.16,0.61,0.14,0.75,0.66,0.96,0.07,0.06
Lawyer,122573,21,High School,0.26,0.75,0.66,Medium,0.25,0.27,0.76,0.45,0.78,0.07,0.49,0.03,0.06,0.91
Graphic Designer,133864,20,Master's,0.53,0.91,0.44,Medium,0.9,0.02,0.66,0.96,0.56,0.94,0.05,0.42,0.26,0.73
Chef,48745,20,Master's,0.26,1.15,0.38,Medium,0.57,0.46,0.97,0.61,0.35,0.11,0.15,0.23,0.25,0.85
Doctor,49446,0,Master's,0.52,0.61,0.27,Low,0.72,0.07,0.71,0.54,0.08,0.46,0.48,0.17,0.95,0.85
Nurse,98673,9,Master's,0.46,0.91,0.21,Low,0.55,0.06,0.51,0.81,0.46,0.05,0.79,0.2,0.26,0.16
Customer Support,93870,3,PhD,0.76,1.02,0.75,High,0.88,0.88,0.87,0.24,0.45,0.98,0.77,0.03,0.07,0.46
Financial Analyst,72951,11,High School,0.54,1.0,0.34,Medium,0.66,0.82,0.38,0.78,0.96,0.2,0.52,0.29,0.79,0.58
Construction Worker,37239,22,High School,0.64,0.7,0.92,High,0.52,0.45,0.56,0.17,0.61,0.36,0.9,0.17,0.51,0.6
Customer Support,149798,7,PhD,0.89,1.15,0.74,High,0.44,0.62,0.08,0.88,0.8,0.51,0.97,0.42,0.98,0.67
Security Guard,149052,1,Bachelor's,0.17,1.38,0.81,High,0.16,0.01,0.56,0.53,0.72,0.89,0.08,0.73,0.19,0.86
Teacher,39587,5,Bachelor's,0.54,1.21,0.13,Low,0.47,0.82,0.46,0.36,0.49,0.83,0.34,0.17,0.71,0.83
Marketing Manager,120301,0,Master's,0.24,0.64,0.44,Medium,0.45,0.75,0.65,0.62,0.35,0.84,0.47,0.98,0.63,0.13
HR Specialist,117969,1,PhD,0.31,0.5,0.57,Medium,0.17,0.66,0.99,0.07,0.08,0.34,0.87,0.22,0.36,0.07
Security Guard,39528,20,High School,0.41,1.26,0.93,High,0.23,0.81,0.06,0.9,0.65,0.87,0.0,0.17,0.39,0.38
Teacher,95677,3,Master's,0.38,0.63,0.15,Low,0.8,0.48,0.02,0.42,0.03,0.97,0.13,0.71,0.97,0.83
HR Specialist,51778,8,Bachelor's,0.84,1.48,0.55,Medium,0.56,0.63,0.53,0.64,0.45,0.22,0.12,0.07,0.26,0.05
Lawyer,36816,23,High School,0.28,1.32,0.33,Medium,0.23,0.73,0.6,0.06,0.88,0.88,0.33,0.34,0.99,0.63
Research Scientist,53567,28,Bachelor's,0.84,0.79,0.16,Low,0.27,0.79,0.57,0.66,0.25,0.22,0.49,0.74,0.53,0.03
Lawyer,121170,16,Bachelor's,0.06,1.46,0.31,Medium,0.69,0.08,0.91,0.46,0.14,0.34,0.16,0.17,0.95,0.45
AI Engineer,91944,28,Bachelor's,0.64,1.18,0.08,Low,0.23,0.79,0.97,0.26,0.27,0.47,0.98,0.27,0.41,0.89
Security Guard,123905,16,Bachelor's,0.04,1.1,0.93,High,0.24,0.47,0.45,0.47,0.62,0.47,0.45,0.47,0.59,0.54
Teacher,73056,13,Master's,0.05,1.33,0.26,Low,0.28,0.46,0.44,0.22,0.4,0.04,0.28,0.82,0.28,0.82
Truck Driver,89156,18,Master's,0.88,1.07,0.71,High,0.68,0.04,0.45,0.93,0.17,0.39,0.73,0.88,0.67,0.26
Marketing Manager,102124,15,PhD,0.3,1.22,0.68,Medium,0.72,0.86,0.0,0.72,0.83,0.04,0.87,0.26,0.67,0.8
Doctor,54995,17,PhD,0.09,1.1,0.19,Low,0.9,0.4,0.32,0.75,0.41,0.65,0.65,0.89,0.6,0.5
Mechanic,100194,21,High School,0.12,0.65,0.37,Medium,0.64,0.74,0.53,0.83,0.99,0.82,0.69,0.53,0.45,0.08
Lawyer,97534,25,High School,0.91,1.31,0.39,Medium,0.47,0.82,0.07,0.39,0.85,0.4,0.08,0.54,0.86,0.59
UX Researcher,123547,1,High School,0.38,0.95,0.53,Medium,0.76,0.1,0.89,0.01,0.37,0.03,0.39,0.53,0.51,0.17
AI Engineer,111926,3,Bachelor's,0.04,1.26,0.29,Low,0.34,0.52,0.38,0.01,0.39,0.79,0.6,0.1,0.85,0.53
HR Specialist,107487,19,Bachelor's,0.58,1.06,0.34,Medium,0.17,0.97,0.23,0.98,0.53,0.14,0.1,0.21,0.93,0.41
HR Specialist,107362,17,Master's,0.31,0.65,0.5,Medium,0.13,0.84,0.37,0.37,0.47,0.44,0.99,0.55,0.09,0.61
Financial Analyst,44973,19,Master's,0.03,1.47,0.61,Medium,0.98,0.48,0.53,0.17,0.25,0.84,0.36,0.83,0.71,0.18
Research Scientist,30340,13,Master's,0.68,0.74,0.26,Low,0.54,0.17,0.58,1.0,0.15,0.82,0.21,0.78,0.73,0.3
Doctor,104965,24,Bachelor's,0.79,0.96,0.23,Low,0.15,0.85,0.71,0.91,0.13,0.59,0.6,0.35,0.46,0.04
Truck Driver,74789,10,Master's,0.55,0.56,0.87,High,0.47,0.03,0.97,0.95,0.51,0.09,0.75,0.49,0.3,0.49
Security Guard,88954,0,High School,0.56,0.94,0.85,High,0.92,0.36,0.73,0.89,0.46,0.44,0.6,0.59,0.81,0.48
Teacher,78456,7,PhD,0.85,0.94,0.26,Low,0.89,0.06,0.88,0.45,0.51,0.63,0.93,0.02,0.48,0.69
Financial Analyst,116698,2,High School,0.69,0.63,0.42,Medium,0.36,0.8,0.28,0.21,0.96,0.01,1.0,0.68,0.83,0.29
Chef,40886,2,High School,0.74,1.33,0.6,Medium,0.14,0.75,0.77,0.66,0.77,0.85,0.61,0.09,0.49,0.08
AI Engineer,78511,3,High School,0.41,0.57,0.14,Low,0.11,0.81,0.95,0.07,0.96,0.52,0.3,0.08,0.5,0.79
AI Engineer,136127,5,Master's,0.05,0.57,0.15,Low,0.3,0.23,0.28,0.8,0.93,0.41,0.91,0.32,0.48,0.23
Truck Driver,45592,29,Bachelor's,0.98,1.1,0.79,High,0.65,0.12,0.89,0.5,0.45,0.59,0.62,0.07,0.68,0.24
Security Guard,134859,13,Master's,0.82,1.3,0.84,High,0.52,0.14,0.78,0.27,0.5,0.28,0.13,0.63,0.05,0.75
Nurse,119678,24,High School,0.0,1.01,0.06,Low,0.28,0.71,0.06,0.84,0.0,0.25,0.74,0.32,0.1,0.36
UX Researcher,62402,8,Master's,0.84,0.81,0.62,Medium,0.89,0.43,0.91,0.38,0.96,0.09,0.69,0.49,0.39,0.63
Mechanic,53478,9,Bachelor's,0.14,0.75,0.65,Medium,0.18,0.28,0.13,0.68,0.94,0.27,0.48,0.63,1.0,0.1
Lawyer,52005,15,Bachelor's,0.39,1.37,0.49,Medium,0.11,0.63,0.77,0.0,0.86,0.19,0.55,0.42,0.72,0.37
Security Guard,82389,10,Bachelor's,0.73,1.15,0.9,High,0.75,0.04,0.39,0.93,0.13,0.74,0.97,0.05,0.68,0.47
Chef,84336,3,High School,0.09,0.54,0.57,Medium,0.82,0.78,0.54,0.1,0.69,0.24,0.91,0.84,0.71,0.95
Financial Analyst,112594,24,High School,0.74,0.83,0.66,Medium,0.27,0.72,0.88,0.04,0.4,0.76,0.45,0.27,0.22,0.13
Security Guard,85243,26,Bachelor's,0.58,0.58,0.8,High,0.37,0.18,0.44,0.33,0.34,0.74,0.22,0.64,0.57,0.57
